level,id,parent,children,name,include,pnzRegional,path
board,zzzzzzzzzzzzzzzzzzzx,5LcejaRWTJoYW3rI9mgK,,Henderson-Massey,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzy,,Waitākere Ranges,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzy,5LcejaRWTJoYW3rI9mgK,,Waitākere Ranges,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzy
ward,5LcejaRWTJoYW3rI9mgK,zzzzzzzzzzzzzzzzzzzy,|,Waitākere,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK
subdivision,zzzzzzzzzzzzzzzzzzzv,zzzzzzzzzzzzzzzzzzzy,,Wellsford,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzv
subdivision,zzzzzzzzzzzzzzzzzzzw,zzzzzzzzzzzzzzzzzzzy,,Warkworth,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzw
subdivision,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzy,,Kumeū,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzy,,Dairy Flat,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzy,5LcejaRWTJoYW3rI9mgL,|||,Rodney,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy
ward,5LcejaRWTJoYW3rI9mgL,zzzzzzzzzzzzzzzzzzzy,,Rodney,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL
subdivision,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzw,,Ōwairaka,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzw/subdivisions/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzw,,Maungawhau,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzw/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzw,5LcejaRWTJoYW3rI9mgM,|,Albert-Eden,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzw
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,,Ōrākei,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzx,5LcejaRWTJoYW3rI9mgM,,Ōrākei,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzy,,Waitematā,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzy,5LcejaRWTJoYW3rI9mgM,,Waitematā,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzy
ward,5LcejaRWTJoYW3rI9mgM,zzzzzzzzzzzzzzzzzzzy,||,Ōrākei,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,,Kaipātiki,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzx,5LcejaRWTJoYW3rI9mgN,,Kaipātiki,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN/boards/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzy,,Devonport-Takapuna,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzy,5LcejaRWTJoYW3rI9mgN,,Devonport-Takapuna,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN/boards/zzzzzzzzzzzzzzzzzzzy
ward,5LcejaRWTJoYW3rI9mgN,zzzzzzzzzzzzzzzzzzzy,|,North Shore,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN
subdivision,zzzzzzzzzzzzzzzzzzzx,zzzzzzzzzzzzzzzzzzzx,,Papatoetoe,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/AULpQphVk9eQc7uW9vQY/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzx
subdivision,zzzzzzzzzzzzzzzzzzzy,zzzzzzzzzzzzzzzzzzzx,,Ōtara,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/AULpQphVk9eQc7uW9vQY/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy
board,zzzzzzzzzzzzzzzzzzzx,AULpQphVk9eQc7uW9vQY,|,Ōtara-Papatoetoe,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/AULpQphVk9eQc7uW9vQY/boards/zzzzzzzzzzzzzzzzzzzx
